$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   3 Maggie Clay,Unknown
   3 Madsen Pirie,Unknown
   3 Louise Christian,Unknown
   3 Lisa Jardine,Unknown
   3 Liam Byrne,Labour Party
   3 Lesley Riddoch,Unknown
   3 Len McCluskey,Labour Party
   3 Laura Grimond,Unknown
   3 Ken Maginnis,Unknown
   3 Ken Loach,Unknown
   3 Keir Starmer,Labour Party
   3 June Sarpong,Unknown
   3 John Thurso,Liberal Party
   3 John Silkin,Labour Party
   3 John O'Farrell (author),Unknown
   3 John Nicolson,Scottish National Party
   3 John McDonnell,Labour Party
   3 John Major,Conservative Party
   3 Joanna Cherry,Scottish National Party
   3 Jo Grimond,Unknown
   3 Jo Foley,Unknown
   3 Jim Sillars,Scottish National Party
   3 Jeremy Corbyn,Labour Party
   3 Jeffrey Donaldson,Democratic Unionist Party
   3 Jeanette Winterson,Unknown
   3 Janet Anderson,Labour Party
   3 James Rubin,Democratic Party (United States)
   3 Hilary Wainwright,Unknown
   3 Hardeep Singh Kohli,Unknown
   3 Glenda Jackson,Labour Party
   3 Gina Miller,Unknown
   3 Gillian Shephard,Conservative Party
   3 Gill Nott,Unknown
   3 Gerry Malone,Unknown
   3 George Pascoe-Watson,Unknown
   3 George Monbiot,Unknown
   3 Esther Rantzen,Unknown
   3 Esther McVey,Conservative Party
   3 Emily Macfarquhar,Unknown
   3 Elizabeth Filkin,Unknown
   3 Eddie Izzard,Unknown
   3 Donald Trelford,Unknown
   3 Dick Taverne,Labour Party
   3 Diane James,Independent
   3 Derek Simpson (trade unionist),Labour Party
   3 Denzil Davies,Labour Party
   3 Dennis Skinner,Labour Party
   3 Dawn Primarolo,Labour Party
   3 Dawn Butler,Labour Party
   3 David Sheppard,Unknown
   3 David Mitchell (comedian),Unknown
   3 David Lidington,Conservative Party
   3 David Gauke,Conservative Party
   3 David Basnett,Unknown
   3 David Baddiel,Unknown
   3 Conor Cruise O'Brien,Labour Party (Ireland)
   3 Colin Blakemore,Unknown
   3 Clive Thornton,Unknown
   3 Claire Fox,Unknown
   3 Claire Brooks,Unknown
   3 Christine Ockrent,Unknown
   3 Carwyn Jones,Labour Party
